,person,sequence_id,group,sequence,reported_sequence,corrected_sequence,cleaned_sequence,cleaned_reported_sequence,correct,sequence_errors,errors,marked
11,amirS,28,bachelor,ttthuhhttuhtuthuttuttututtthtthuhhthhhhthhhhthhutthttuttthtthhthhhhtutttthhthhuuhhhtthttutthttuthhhtutttttttuthttuht,hhhtxthhxthxhtxhhhhhxhxhhhthhthxtthtttthtttthttxhhthhxhhhthhtthtttxhxxhhhxtthttxxxttthhthhxhhthhhxhtthhhxthxhhhhxhhxhthhxth,hhhtutthhuthuhtuhhuhhuhuhhhthhtutthtttthtttthttuhhthhuhhhthhtthtttthuhhhhtthttuuttthhthhuhhthhuhttthuhhhhhhhuhthhuth,hhhttthhthhthhhhhhhhthhttthtttthtttthtthhthhhhhthhtthtttthhhhhtthttttthhthhhhthhhttthhhhhhhhhthhth,hhhtthhthhthhhhhhhhhthhthtthtttthtttthtthhthhhhhthhtthttthhhhtthttttthhthhhhthhhhtthhhthhhhhhhhthhth,0,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
12,davidV,52,bachelor,hthhtththtttthhttththtththhthtttuhhthtththhthtuhththhhthththttthhthhththhhttttththhhhhttttththhhthtttttt,hthhtththtttthhttththtththhthttthhthtththhththththhhthththttthhthhththhhttttththhhhhttttththhhthtttttt,hthhtththtttthhttththtththhthtttuhhthtththhthtuhththhhthththttthhthhththhhttttththhhhhttttththhhthtttttt,hthhtththtttthhttththtththhthttthhthtththhththththhhthththttthhthhththhhttttththhhhhttttththhhthtttttt,hthhtththtttthhttththtththhthttthhthtththhththththhhthththttthhthhththhhttttththhhhhttttththhhthtttttt,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
13,kaleemU,25,bachelor,huuhtthhhhthhhtttuhhththhhthttttututthhttttututhtthhtuuthhuuththhhhttuhhutththhthhttttthtuttthhhhuththuthhtttttthhtttuhuhth,hxxhthhhhthhhtthhththhhtxxhhttttxtxtthhttttxtxththxtxtxthhxxththhttxhhxtththhxhhtttthtxttthhhhxththxhhhttxtthhtttxhxhthxhtxxt,huuhtthhhhthhhtttuhhththhhthttttututthhttttututhtthhtuuthhuuththhhhttuhhutththhthhttttthtuttthhhhuththuthhtttttthhtttuhuhth,hhtthhhhthhhttthhththhhthttttttthhtttttthtthhtthhththhhhtthhtththhthhttttthtttthhhhthththhtttttthhttthhth,hhthhhhthhhtthhththhhthhttttttthhtttttththttthhththhtthhtththhhhtttthtttthhhhththhhhtttthhttthhthhtt,0,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",x
14,davidKL,147,bachelor,thuhthuhhhtttthtttttthttththhtthhhtthtthtthhttthththttthtthttthhtthhthhttthttthhhthtththhhhhhtthhhthtt,hhhthhhhtththtttttthttththhtthhhtthtthtthhttthththttthtthttthhtthhthhttthttthhhthtththhhhhhtthhhthtt,htuthtuttthhhhthhhhhhthhhthtthhttthhthhthhtthhhthththhhthhthhhtthhtthtthhhthhhttththhthtttttthhttththh,htthtttthhhhthhhhhhthhhthtthhttthhthhthhtthhhthththhhthhthhhtthhtthtthhhthhhttththhthtttttthhttththh,hhhthhhhtththtttttthttththhtthhhtthtthtthhttthththttthtthttthhtthhthhttthttthhhthtththhhhhhtthhhthtt,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",x
15,frantisekB,51,marathon,uthhtthhhhhhthththhhthttthhthththhuhhhhhhththhhthhthhhtttttththttthhhhhthhttttthtthtththhhtuthttthhtth,htxthhtttttthththttththhhtththtthttxttttxththttthtthttthhhhhhthththhhttttthththhhhhthhthhthttthxttthhhtt,uhtthhtttttthththttththhhtthththttutttttththttthtthttthhhhhhththhhttttthtthhhhhthhthhthttthuhthhhtthht,htthhtttttthththttththhhtthththtttttttththttthtthttthhhhhhththhhttttthtthhhhhthhthhthttthhthhhtthht,htthhtttttthththttththhhtththtthttttttththttthtthttthhhhhhthththhhttttthththhhhhthhthhthttthttthhhtt,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",
16,alexandraS,23,marathon,hhhthtttthtttthhthhthhhhttththtthtthhthtthththhhhhhthttttthtthhthhthhhhhhhhtthhhhuthhtthhhttttthhhtttutttht,hxxhthtxhhthxthttxhthhhhxthhthhtthhhxhthxxhhththxttthhhtthhtthttthhxtttthhthhhttthhttthhhhtxhhtttthhxtthxhhhhxthtxhh,hhhthtttthtttthhthhthhhhttththtthtthhthtthththhhhhhthttttthtthhthhthhhhhhhhtthhhhuthhtthhhttttthhhtttutttht,hhhthtttthtttthhthhthhhhttththtthtthhthtthththhhhhhthttttthtthhthhthhhhhhhhtthhhhthhtthhhttttthhhttttttht,hhththhththtththhhhthhthhtthhhhthhhththttthhhtthhtthttthhtttthhthhhttthhttthhhhthhtttthhtthhhhhththh,0,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",x
17,madlenH,1,marathon,uuhtuthhhhhhhthhutththhttuthhhtttttttthtttthhtttuttthhhttttuuuhttuthtttuttthhhhttthhtuthththhttuththhhtthuhutthhttttthuhhhthhttu,ttthxhttttttthttxhthtthxxhtttxhhhxhhhthhhhtthhhxhhxxttthhhhxxthhxhthhhxhhhttxthhhtxthxhttthtthhxhthtttxhhtxtxhhtxhhhhhtxtt,uuthuhttttttthttuhhthtthhuhttthhhhhhhhthhhhtthhhuhhhttthhhhuuuthhuhthhhuhhhtttthhhtthuhththtthhuhthttthhtutuhhtthhhhhtuttthtthhu,thhttttttthtthhthtthhhttthhhhhhhhthhhhtthhhhhhttthhhhthhhthhhhhhtttthhhtthhththtthhhthttthhtthhtthhhhhtttthtthh,ttthhttttttthtththtthhttthhhhhhthhhhtthhhhhttthhhhthhhthhhhhhttthhhtthhttthtthhhthttthhtthhthhhhhttt,0,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",x
18,henrikG,29,marathon,httthtththhhhththhhtththhhttthttththhthtthtthhtttththtthhhthtttttttthhhhhtttttthhthtthhhhthtttth,hthtthtththhhhththhhtththhhttthttththhthttttthhtttththtthhhthttttxttxthhhhhttttttxhhthtthhhhhthtttthhhh,httthtththhhhththhhtththhhttthttththhthtthtthhtttththtthhhthtttttttthhhhhtttttthhthtthhhhthtttth,httthtththhhhththhhtththhhttthttththhthtthtthhtttththtthhhthtttttttthhhhhtttttthhthtthhhhthtttth,hthtthtththhhhththhhtththhhttthttththhthttttthhtttththtthhhthttttttthhhhhtttttthhthtthhhhhthtttthhhh,0,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
19,jillR,3,marathon,hhthttthhhhhtuhhhhhtttutthtthhhhhuthththttttthththhttttttuthhthuuhuttttththuuuhhhhutthttttuhtuthuhth,hhthttthhhhhtxhhhhhttttthtthhhhhhthttthttxtthththhttttttxthhthxxhxttttthtxhxxxhhhtxtthttxttxhtxthxhthttthhhhhhtt,hhthttthhhhhtuhhhhhtttutthtthhhhhuthththttttthththhttttttuthhthuuhuttttththuuuhhhhutthttttuhtuthuhth,hhthttthhhhhthhhhhttttthtthhhhhthththttttthththhttttttthhthhttttththhhhhtthtttthtthhth,hhthttthhhhhthhhhhttttthtthhhhhhthttthtttthththhttttttthhthhttttththhhhttthtttthtthhthttthhhhhhtt,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
20,pierreG,141,bachelor,ttthtthhhttththhhtththhhhhthhtththhhtththththththxthhhhhthhthhhhhhhthhhhhthhhtthhtttxthththhththhhttth,ttthtthhhttththhhtththhhhhthhtththhhtththththththxthhhhhthhthhhhhhhthhhhhthhhtthhtttxthththhththhhttth,ttthtthhhttththhhtththhhhhthhtththhhtththththththxthhhhhthhthhhhhhhthhhhhthhhtthhtttxthththhththhhttth,ttthtthhhttththhhtththhhhhthhtththhhtthththththththhhhhthhthhhhhhhthhhhhthhhtthhtttthththhththhhttth,ttthtthhhttththhhtththhhhhthhtththhhtthththththththhhhhthhthhhhhhhthhhhhthhhtthhtttthththhththhhttth,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
21,amirS,104,bachelor,txtthththtthttxxhhhhtthhxthhhhtttthhhhhthtththxhxxhxtttthhxthtttthhhhxtttthttthhhthhththhhxxhtxhxtthttththhtttht,htxtthththtthttxxhhhhtthhxthhhhtttthhhhhthtththxhxhhxtttthhxthtttthhhhxtttthttthhhthhththhhxxhtxhxtthttththhtttht,hxhhthththhthhxxtttthhttxhtttthhhhttttththhthtxtxxtxhhhhttxhthhhhttttxhhhhthhhttthtththtttxxthxtxhhthhhthtthhhth,hhhthththhthhtttthhtthtttthhhhttttththhthttthhhhtththhhhtttthhhhthhhttthtththtttththhthhhthtthhhth,httthththtthtthhhhtthhthhhhtttthhhhhthtththhhhtttthhthtttthhhhtttthttthhhthhththhhhthtthttththhtttht,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",x
22,davidV,65,bachelor,hhhthttththhthhtttthhthhhtthttttthhhhhttthhththtttthhthttttthtththhttttthtthhhhthtttthtthhhttthhthh,ttththhhthtthtthhhhtthttthhthhhhthttttthhhtthththhhhtththhhhhthhthtthhhhhthhtttththhhhthhttthhhtthtt,ttththhhthtthtthhhhtthttthhthhhhhttttthhhtthththhhhtththhhhhthhthtthhhhhthhtttththhhhthhttthhhtthtt,ttththhhthtthtthhhhtthttthhthhhhhttttthhhtthththhhhtththhhhhthhthtthhhhhthhtttththhhhthhttthhhtthtt,ttththhhthtthtthhhhtthttthhthhhhthttttthhhtthththhhhtththhhhhthhthtthhhhhthhtttththhhhthhttthhhtthtt,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
